state	a	b	c	d	OR	log2OR	LCL	UCL	p_greater	p_less	p_two
BivFlnk	144	664974	7843	7910401	0.218411	-2.194884	0.185218	0.257552	1.000e+00	9.649e-124	1.698e-123
Enh	16202	648916	297903	7620341	0.638675	-0.646847	0.628529	0.648984	1.000e+00	0.000e+00	0.000e+00
EnhBiv	310	664808	10649	7907595	0.346259	-1.530077	0.309275	0.387666	1.000e+00	6.370e-107	1.456e-106
EnhG	4134	660984	57529	7860715	0.854584	-0.226706	0.827952	0.882073	1.000e+00	1.400e-23	2.721e-23
Het	12547	652571	222795	7695449	0.664111	-0.590504	0.652159	0.676282	1.000e+00	0.000e+00	0.000e+00
Quies	442790	222328	4949127	2969117	1.194820	0.256793	1.188511	1.201162	0.000e+00	1.000e+00	0.000e+00
ReprPC	4133	660985	53531	7864713	0.918653	-0.122409	0.889951	0.948280	1.000e+00	6.045e-08	1.218e-07
ReprPCWk	104681	560437	984545	6933699	1.315438	0.395544	1.306355	1.324584	0.000e+00	1.000e+00	0.000e+00
TssA	3015	662103	114510	7803734	0.310328	-1.688135	0.299280	0.321783	1.000e+00	0.000e+00	0.000e+00
TssAFlnk	7101	658017	158144	7760100	0.529538	-0.917194	0.517027	0.542351	1.000e+00	0.000e+00	0.000e+00
TssBiv	116	665002	5839	7912405	0.236377	-2.080839	0.196690	0.284071	1.000e+00	3.638e-87	7.508e-87
Tx	19721	645397	324391	7593853	0.715312	-0.483356	0.704946	0.725830	1.000e+00	0.000e+00	0.000e+00
TxFlnk	2035	663083	28991	7889253	0.835159	-0.259877	0.798396	0.873615	1.000e+00	4.651e-16	9.420e-16
TxWk	53665	611453	821112	7097132	0.758592	-0.398603	0.751709	0.765539	1.000e+00	0.000e+00	0.000e+00
ZNF/Rpts	1837	663281	41258	7876986	0.528766	-0.919299	0.504588	0.554103	1.000e+00	4.502e-191	9.451e-191
