state	S_OV	S_NO	U_OV	U_NO	OR	log2OR	LCL	UCL	p_greater	p_less	p_two	ovfrac_adv	ovfrac_univ
DNase	136303	100395340	3907029	1153607907	0.400870	-1.318794	0.398709	0.403042	1.000e+00	0.000e+00	0.000e+00	0.001356	0.003375
EnhA1	181445	100350198	3865387	1153649549	0.539644	-0.889919	0.537107	0.542193	1.000e+00	0.000e+00	0.000e+00	0.001805	0.003339
EnhA2	142914	100388729	3551145	1153963791	0.462608	-1.112136	0.460167	0.465063	1.000e+00	0.000e+00	0.000e+00	0.001422	0.003068
EnhAc	284060	100247583	3301319	1154213617	0.990683	-0.013504	0.986889	0.994493	1.000e+00	8.536e-07	1.706e-06	0.002826	0.002852
EnhAF	246140	100285503	4576454	1152938482	0.618331	-0.693549	0.615825	0.620847	1.000e+00	0.000e+00	0.000e+00	0.002448	0.003954
EnhW1	210587	100321056	4308080	1153206856	0.561905	-0.831602	0.559450	0.564371	1.000e+00	0.000e+00	0.000e+00	0.002095	0.003722
EnhW2	978340	99553303	15261010	1142253926	0.735552	-0.443100	0.734043	0.737065	1.000e+00	0.000e+00	0.000e+00	0.009732	0.013184
Het	385321	100146322	7854043	1149660893	0.563202	-0.828276	0.561380	0.565030	1.000e+00	0.000e+00	0.000e+00	0.003833	0.006785
PromBiv	115593	100416050	4802984	1152711952	0.276273	-1.855835	0.274665	0.277890	1.000e+00	0.000e+00	0.000e+00	0.001150	0.004149
PromD1	27878	100503765	5478174	1152036762	0.058332	-4.099559	0.057650	0.059023	1.000e+00	0.000e+00	0.000e+00	0.000277	0.004733
PromD2	140257	100391386	2419920	1155095016	0.666876	-0.584511	0.663293	0.670478	1.000e+00	0.000e+00	0.000e+00	0.001395	0.002091
PromP	163802	100367841	2914707	1154600229	0.646489	-0.629302	0.643277	0.649718	1.000e+00	0.000e+00	0.000e+00	0.001629	0.002518
PromU	62011	100469632	7616513	1149898423	0.093183	-3.423788	0.092449	0.093923	1.000e+00	0.000e+00	0.000e+00	0.000617	0.006580
Quies	80191317	20340326	884976401	272538535	1.214131	0.279924	1.213518	1.214745	0.000e+00	1.000e+00	0.000e+00	0.797672	0.764549
ReprPC	1186815	99344828	15851789	1141663147	0.860394	-0.216930	0.858781	0.862010	1.000e+00	0.000e+00	0.000e+00	0.011805	0.013695
TssA	9197	100522446	2086293	1155428643	0.050670	-4.302724	0.049643	0.051719	1.000e+00	0.000e+00	0.000e+00	0.000091	0.001802
Tx	795394	99736249	10264062	1147250874	0.891391	-0.165869	0.889352	0.893435	1.000e+00	0.000e+00	0.000e+00	0.007912	0.008867
Tx3'	4378765	96152878	56937212	1100577724	0.880266	-0.183989	0.879391	0.881141	1.000e+00	0.000e+00	0.000e+00	0.043556	0.049189
Tx5'	2375497	98156146	24041477	1133473459	1.141004	0.190304	1.139466	1.142544	0.000e+00	1.000e+00	0.000e+00	0.023629	0.020770
TxEnh3'	327221	100204422	4460153	1153054783	0.844218	-0.244313	0.841221	0.847225	1.000e+00	0.000e+00	0.000e+00	0.003255	0.003853
TxEnh5'	316342	100215301	3976079	1153538857	0.915799	-0.126898	0.912484	0.919126	1.000e+00	0.000e+00	0.000e+00	0.003147	0.003435
TxEnhW	1066134	99465509	11958362	1145556574	1.026796	0.038149	1.024753	1.028843	1.552e-148	1.000e+00	3.075e-148	0.010605	0.010331
TxReg	269561	100262082	4988341	1152526595	0.621177	-0.686924	0.618771	0.623592	1.000e+00	0.000e+00	0.000e+00	0.002681	0.004310
TxWk	5812993	94718650	61311912	1096203024	1.097262	0.133908	1.096301	1.098224	0.000e+00	1.000e+00	0.000e+00	0.057823	0.052969
ZNF/Rpts	48440	100483203	1286766	1156228170	0.433166	-1.207007	0.429254	0.437115	1.000e+00	0.000e+00	0.000e+00	0.000482	0.001112
